"Jahr","Grossregion","Schweizer/innen und Ausländer/innen","Berufliche Stellung","Geschlecht","Zentralwert","P10","P25","P75","P90"
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Berufliche Stellung - Total","Männer",6532,4646,5400,8531,11529
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Oberes und mittleres Kader","Geschlecht - Total",11572,6137,8372,15986,22535
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Oberes und mittleres Kader","Frauen",10980,6000,8216,14654,20309
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Oberes und mittleres Kader","Männer",12015,6388,8454,16641,23504
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Unteres Kader","Geschlecht - Total",9712,5744,7536,12149,15060
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Unteres Kader","Frauen",9484,5128,7217,11781,14451
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Unteres Kader","Männer",9822,5972,7677,12332,15316
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Verantwortlich für die Ausführung der Arbeiten","Geschlecht - Total",7275,4966,6034,9446,11692
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Verantwortlich für die Ausführung der Arbeiten","Frauen",7357,4716,5778,9411,11159
"2024","Région lémanique","> Grenzgänger/innen (Kat. G)","Verantwortlich für die Ausführung der Arbeiten","Männer",7199,5238,6066,9491,11906
